"id", "mean_ThinQR_time_elapsed","std_ThinQR_time_elapsed", "mean_QR_time_elapsed", "std_QR_time_elapsed", "mean_mQR_time_elapsed", "std_mQR_time_elapsed"
86,0.42523,0.02181,0.27516,0.0031717,0.0011754,0.00026822
87,0.55541,0.051584,0.37776,0.059157,0.0013154,0.00017307
88,0.95248,0.018495,0.49686,0.010794,0.0015055,4.6728e-05
89,1.0652,0.03204,0.50665,0.0029833,0.0021998,0.00032459
90,1.2323,0.037419,0.5573,0.030109,0.0024557,0.00031902
91,1.4395,0.027302,0.57001,0.038939,0.0028622,0.0003429
92,1.5917,0.036472,0.60478,0.056962,0.0040034,0.00072565
93,1.7908,0.052578,0.67086,0.038177,0.003945,0.00031951
94,1.9878,0.12072,0.71891,0.024532,0.0047646,0.00096943
95,2.0786,0.049502,0.84881,0.057497,0.005048,0.0003119
96,2.2989,0.051897,0.81565,0.04457,0.0055783,0.00059814
97,2.4419,0.09162,0.79707,0.073181,0.0079679,0.0020946
98,2.8109,0.083276,0.95181,0.089023,0.0066238,0.00062539
99,3.4931,0.40794,0.87667,0.096486,0.0075084,0.00020609
100,3.3784,0.057973,0.93382,0.069254,0.0079864,0.0006593
101,0.036505,0.012653,0.041312,0.006426,0.00016984,2.6208e-05
102,0.080571,0.019502,0.090279,0.009658,0.0002417,4.8157e-05
103,0.14212,0.025584,0.15042,0.0041785,0.00036041,2.7195e-05
104,0.22948,0.022212,0.19643,0.0018612,0.00067652,0.00019946
105,0.34377,0.019157,0.28747,0.028404,0.0011489,0.00068692
106,0.45507,0.02276,0.29282,0.0063811,0.0010798,0.00014437
107,0.59684,0.049924,0.40674,0.055903,0.0013551,0.00020564
108,0.80556,0.033811,0.47201,0.053909,0.0016854,0.00017863
109,1.2382,0.097542,0.57844,0.010471,0.00225,0.000185
110,1.3249,0.041459,0.61757,0.021205,0.0023669,7.4963e-05
111,1.498,0.006268,0.6865,0.01011,0.0028614,0.00022786
112,1.7137,0.030312,0.65003,0.084049,0.0034668,0.00033678
113,1.8835,0.013122,0.75012,0.024068,0.0039539,0.00042509
114,2.0949,0.037154,0.78198,0.054768,0.0046853,0.00038145
115,2.2646,0.05237,0.88036,0.05665,0.0047382,0.00012925
116,2.4698,0.037549,0.89419,0.073457,0.0062303,0.00098924
117,2.6834,0.051781,0.91815,0.098696,0.0062093,0.00084436
118,2.9605,0.031441,0.98683,0.082228,0.0067974,0.00025437
119,3.3033,0.1408,0.98604,0.13496,0.0077492,0.0013462
120,3.636,0.14318,1.0965,0.066942,0.0086899,0.00081435
121,0.037671,0.0094698,0.055793,0.017157,0.00018197,1.8123e-05
122,0.11311,0.014475,0.14775,0.036071,0.00029348,5.6053e-05
123,0.22213,0.033419,0.21267,0.01758,0.00066093,0.00036336
124,0.35359,0.024144,0.28232,0.014655,0.0011857,0.00068665
125,0.40722,0.064553,0.34894,0.046836,0.001173,0.00051783
126,0.50616,0.020893,0.35708,0.066121,0.0010624,0.00011197
127,0.63938,0.051908,0.45247,0.060558,0.0013199,5.0407e-05
128,0.87949,0.053382,0.48326,0.066458,0.0018424,0.00025137
129,1.328,0.013387,0.62531,0.014242,0.0021864,0.00019918
130,1.4392,0.030169,0.69057,0.020478,0.0027365,0.0003551
131,1.6093,0.011733,0.65223,0.078204,0.0028128,5.7428e-05
132,1.8162,0.015485,0.71462,0.051879,0.0035583,0.00042124
133,2.0133,0.047022,0.85928,0.012213,0.0045436,0.0010917
134,2.2636,0.038758,0.89381,0.041149,0.0045127,0.00037145
135,2.4613,0.043143,0.93498,0.060567,0.0051028,0.00014881
136,2.68,0.038776,1.0125,0.064181,0.00579,0.00025462
137,2.9853,0.091914,1.0516,0.063508,0.0063855,0.00035738
138,3.3153,0.11883,1.1857,0.061078,0.0073901,0.00095194
139,3.6802,0.18263,1.2061,0.038955,0.0079869,0.00069278
140,3.9024,0.094938,1.234,0.089708,0.0084291,0.00023761
141,0.047386,0.0064436,0.057295,0.0022091,0.00017512,5.8755e-06
142,0.1102,0.01132,0.11558,0.0015454,0.00024016,1.7223e-05
143,0.20018,0.0054353,0.17527,0.008652,0.00037845,2.4636e-05
144,0.26885,0.025557,0.23017,0.0043862,0.00068042,0.00016616
145,0.37564,0.01307,0.28323,0.0058611,0.00085788,0.00021466
146,0.55396,0.02974,0.40415,0.13598,0.0011238,0.00019334
147,0.6701,0.06152,0.51765,0.00093427,0.0013624,4.6853e-05
148,0.84804,0.046803,0.58762,0.076317,0.001735,0.00020998
149,1.4394,0.019942,0.68331,0.0083394,0.0027844,0.0013841
150,1.5765,0.064182,0.62175,0.072885,0.0029076,0.00089179
151,1.7608,0.041903,0.80192,0.012167,0.003205,0.00038845
152,1.9996,0.043599,0.83456,0.082694,0.003677,0.00035514
153,2.4032,0.26877,0.95083,0.083674,0.0048649,0.0015629
154,2.4949,0.049269,0.91124,0.055839,0.0048589,0.00039859
155,2.795,0.049583,1.0275,0.082309,0.0055754,0.00054106
156,2.9532,0.13641,1.0903,0.096908,0.0056527,0.00011712
157,3.2188,0.053914,1.0635,0.066704,0.0068817,0.00084604
158,3.5454,0.065992,1.2519,0.021695,0.007309,0.00066036
159,3.8881,0.10344,1.2763,0.06641,0.007914,0.00032102
160,4.1957,0.080475,1.4303,0.076911,0.010184,0.0015312
161,0.045326,0.002389,0.061648,0.0021242,0.00018087,2.1201e-05
162,0.15046,0.026771,0.14014,0.0128,0.00043799,0.00028508
163,0.20526,0.016941,0.22024,0.016221,0.00054345,0.00021592
164,0.32523,0.011992,0.31032,0.03356,0.00067149,0.00013929
165,0.44972,0.024682,0.33313,0.044719,0.00095432,0.00023253
166,0.59348,0.035171,0.39186,0.02678,0.001169,0.00020432
167,0.77321,0.03321,0.45067,0.0031548,0.001386,1.4306e-05
168,1.003,0.062172,0.53142,0.062033,0.0022154,0.00052838
169,1.5556,0.026632,0.7282,0.020715,0.0024706,0.00036797
170,1.8207,0.033845,0.78908,0.0035005,0.0026706,0.00029678
171,2.1693,0.33632,0.91213,0.13341,0.0034843,0.00059745
172,2.659,0.20604,1.022,0.090248,0.0040745,0.00067439
173,2.7966,0.31901,0.99699,0.059369,0.0042676,0.00038823
174,2.7622,0.098778,1.0485,0.043919,0.0049851,0.00037784
175,2.8917,0.032481,1.0846,0.094698,0.005788,0.00081388
176,3.1736,0.019923,1.134,0.09008,0.006911,0.0011435
177,3.4738,0.033119,1.2936,0.061319,0.0068371,0.00035531
178,3.8007,0.024935,1.3579,0.04586,0.0076726,0.0003822
179,4.1794,0.070857,1.4434,0.033121,0.0084281,0.00051429
180,5.2053,0.59552,1.7401,0.35849,0.011062,0.0023506
181,0.13042,0.073413,0.10832,0.035095,0.0092885,0.020367
182,0.17122,0.024615,0.15633,0.0080072,0.00027543,3.0932e-05
183,0.31594,0.083547,0.23434,0.017546,0.00052207,8.0056e-05
184,0.55381,0.22657,0.32896,0.040533,0.00076264,0.00018902
185,0.58479,0.094753,0.46125,0.13766,0.00091491,8.0458e-05
186,0.64029,0.051882,0.51251,0.042286,0.0013206,0.00029201
187,0.86253,0.14188,0.62157,0.03712,0.0018685,0.00074655
188,1.0646,0.0080237,0.70383,0.017682,0.0018826,0.00017153
189,1.3518,0.041183,0.79529,0.023301,0.0027055,0.00068754
190,2.1376,0.31431,0.88324,0.011546,0.0030823,0.00065321
191,2.1136,0.058087,0.97184,0.035463,0.0035989,0.0010165
192,2.3839,0.055374,1.1019,0.11143,0.0049807,0.0020612
193,2.8937,0.32205,1.1527,0.020178,0.0048563,0.0010277
194,2.9705,0.2054,1.1502,0.1064,0.0052478,0.00079557
195,3.5768,0.3125,1.2994,0.036171,0.0072781,0.0019606
196,3.9719,0.4027,1.3322,0.046767,0.0085397,0.0026538
197,3.7832,0.084612,1.3731,0.067925,0.007385,0.00065516
198,4.1025,0.03238,1.4319,0.05548,0.0081007,0.00050742
199,4.4679,0.057685,1.5688,0.033248,0.0089053,0.00072805
200,4.8586,0.036032,1.5875,0.12567,0.011203,0.0023488
201,0.058904,0.0029613,0.073194,0.0034727,0.00391,0.0083397
202,0.14002,0.019735,0.14627,0.0021106,0.00094387,0.00088132
203,0.24518,0.0054105,0.21626,0.0044552,0.00060163,5.6574e-05
204,0.36565,0.028473,0.30343,0.040519,0.0010772,0.00038115
205,0.47766,0.037908,0.4623,0.047521,0.0014472,0.00025687
206,0.64591,0.04587,0.5423,0.051407,0.0017521,0.00018082
207,0.82318,0.046891,0.65792,0.0038658,0.0025187,0.00039333
208,1.1333,0.073909,0.76066,0.012013,0.0034341,0.00072522
209,1.4278,0.061701,0.85802,0.023634,0.003847,0.00048412
210,2.0521,0.016227,0.92,0.014346,0.0044884,0.00047053
211,2.203,0.019975,0.97519,0.050652,0.0052483,0.00058612
212,2.4407,0.012024,1.1667,0.070587,0.0062419,0.00061273
213,2.7663,0.027252,1.1953,0.029033,0.0071809,0.00064121
214,3.0597,0.061192,1.2784,0.022685,0.0079357,0.00052633
215,3.3221,0.040334,1.2675,0.1004,0.0057576,0.00038437
216,3.6769,0.068106,1.3612,0.010836,0.0066316,0.00039785
217,4.2361,0.34086,1.4181,0.06616,0.0098843,0.0013779
218,4.7549,0.33249,1.4948,0.056559,0.0090681,0.0013929
219,4.7657,0.044692,1.5468,0.049557,0.0097834,0.00094734
220,5.1059,0.056293,1.5658,0.024492,0.010259,0.00055953
221,0.053598,0.0093523,0.080488,0.0097406,0.0024017,0.0049653
222,0.15165,0.0090937,0.15439,0.0024549,0.00034697,1.7298e-05
223,0.28238,0.060525,0.25498,0.025941,0.00065787,0.0001233
224,0.41847,0.010576,0.35719,0.047408,0.00097724,0.0001604
225,0.54742,0.021046,0.39387,0.0090541,0.0013356,0.0001662
226,0.75832,0.037681,0.49645,0.056413,0.0020266,0.00066138
227,0.98229,0.055303,0.5407,0.0083934,0.0023126,0.00018636
228,1.2151,0.074112,0.68453,0.10178,0.002749,8.82e-05
229,1.5918,0.038304,0.74491,0.08717,0.0040657,0.00079231
230,2.1806,0.017103,1.0056,0.016183,0.0049762,0.00092319
231,2.5472,0.054913,1.1221,0.0081326,0.0070255,0.0023157
232,2.7268,0.091428,1.1844,0.037633,0.0062706,0.00066323
233,2.9581,0.039405,1.2854,0.01686,0.0072634,0.0010168
234,3.2725,0.03109,1.3814,0.038315,0.0077182,0.00045807
235,3.5627,0.057759,1.4536,0.0079253,0.006161,0.00049635
236,3.9651,0.023218,1.4893,0.052534,0.0071476,0.0010847
237,4.2973,0.09693,1.5649,0.076854,0.0080674,0.00050132
238,5.0584,0.17807,1.8257,0.25363,0.01002,0.0018838
239,5.1551,0.16942,1.7116,0.099729,0.010372,0.0021512
240,5.4549,0.065812,1.8112,0.036775,0.010127,0.00066456
241,0.06603,0.010122,0.08925,0.007265,0.00020802,2.5939e-05
242,0.16305,0.0089038,0.16456,0.0031799,0.00041034,0.00012365
243,0.27613,0.021657,0.24646,0.0038584,0.00063435,0.0001006
244,0.3889,0.032789,0.37671,0.047336,0.00099237,0.00014402
245,0.52949,0.029298,0.53818,0.0023355,0.0013173,4.4841e-05
246,0.76966,0.0077908,0.64734,0.015452,0.0018804,0.00021877
247,0.98424,0.049569,0.75655,0.035504,0.0023043,0.00019274
248,1.4141,0.025809,0.70711,0.039093,0.0033047,0.00063549
249,1.7014,0.03833,0.79997,0.082201,0.0042376,0.0004184
250,2.0181,0.062278,0.84896,0.0091462,0.0044984,0.00021123
251,2.7333,0.04534,1.1658,0.0065941,0.0053287,0.0003405
252,2.9713,0.17373,1.256,0.18007,0.0071372,0.0014662
253,3.1486,0.026013,1.3709,0.031954,0.0077677,0.0016821
254,3.4697,0.029837,1.4736,0.041376,0.0079787,0.00048404
255,3.8451,0.06077,1.5373,0.031028,0.0069401,0.0012791
256,4.2145,0.045069,1.677,0.022359,0.0078876,0.0011743
257,4.6789,0.042029,1.7182,0.044083,0.0082802,0.0006879
258,5.5484,0.33359,1.9078,0.16481,0.010273,0.0024145
259,5.4516,0.29226,1.9386,0.033152,0.0094246,0.00069629
260,5.8847,0.12971,1.9146,0.16447,0.010973,0.00056608
261,0.078977,0.010882,0.087737,0.00061915,0.00021013,4.9042e-05
262,0.17782,0.0064376,0.17755,0.0087719,0.0003799,2.9287e-05
263,0.29452,0.052973,0.28033,0.052099,0.00062259,2.0219e-05
264,0.3914,0.03628,0.46057,0.0028048,0.00098047,0.00011059
265,0.56873,0.033891,0.5716,0.0038023,0.0013262,2.5992e-05
266,0.78204,0.068587,0.67809,0.0018545,0.0017699,1.5263e-05
267,1.096,0.076283,0.79428,0.016596,0.0025658,0.00022441
268,1.4444,0.04628,0.90574,0.016295,0.0033489,0.0010527
269,1.7379,0.05356,1.011,0.014008,0.0042011,0.00061814
270,2.0621,0.078038,1.1316,0.024215,0.0043523,3.6322e-05
271,2.8788,0.017327,1.2811,0.018001,0.0063587,0.0018699
272,3.0513,0.019948,1.2476,0.15634,0.0069067,0.00080123
273,3.3694,0.027445,1.4034,0.114,0.0073532,0.00076846
274,3.7351,0.020447,1.5423,0.045826,0.0086832,0.00046692
