"id", "mean_ThinQR_time_elapsed","std_ThinQR_time_elapsed", "mean_QR_time_elapsed", "std_QR_time_elapsed", "mean_mQR_time_elapsed", "std_mQR_time_elapsed"
388,2.0958,0.046441,1.2839,0.027103,0.0033734,0.00020782
389,2.6775,0.25915,1.5364,0.12636,0.0053824,0.0016558
390,3.228,0.17287,1.6438,0.032759,0.0053638,0.00049795
391,3.569,0.055314,1.8374,0.073507,0.0061108,0.00043463
392,4.784,0.46913,2.0757,0.23486,0.013426,0.011673
393,5.472,0.39491,2.1987,0.2033,0.0089326,0.0019128
394,5.74,0.036851,2.2539,0.051069,0.010547,0.0010349
395,5.8793,0.20777,2.3552,0.053116,0.0078691,0.0009678
396,6.4258,0.10271,2.4483,0.24595,0.010877,0.0024336
397,6.924,0.15151,2.6907,0.075255,0.0097551,0.00053942
398,7.5154,0.06802,2.8512,0.10995,0.011441,0.0016226
399,8.147,0.076223,2.951,0.12704,0.013151,0.0016152
400,9.2146,0.61469,3.0801,0.17111,0.015049,0.0030989
